"","ID","country","secano.area","total.area","secano.pct","mirca.start","mirca.end","N.app.0d","N.app.40d","Coincidencias","New_FPU","NFPU_INT","New_Basin","Basin_Name","Region","elev","variedad.1","SecondAppDay","NOM_MUNICI","NOMBRE_DPT"
"111","1793","Colombia",10881,10881,100,76,166,57.6453018188477,NA,1793,"NWS_COL",183,"NWS","Northwest_South_America","AND",26,"IB0056_FM6",35,"PURÍSIMA","CÓRDOBA"
"112","1840","Colombia",8067,8067,100,76,166,57.6453018188477,NA,1840,"NWS_COL",183,"NWS","Northwest_South_America","AND",78,"IB0056_FM6",35,"SAN CARLOS","CÓRDOBA"
"113","1887","Colombia",12740,12740,100,76,166,57.6453018188477,NA,1887,"NWS_COL",183,"NWS","Northwest_South_America","AND",141,"IB0056_FM6",35,"PLANETA RICA","CÓRDOBA"
"114","1794","Colombia",3973.8,3973.8,100,76,166,57.6453018188477,NA,1794,"NWS_COL",183,"NWS","Northwest_South_America","AND",120,"IB0056_FM6",34,"SAN JUAN DE BETULIA","SUCRE"
"115","1841","Colombia",8215.2,8215.2,100,76,166,57.6453018188477,NA,1841,"NWS_COL",183,"NWS","Northwest_South_America","AND",57,"IB0056_FM6",34,"CAIMITO","SUCRE"
"116","1717","Colombia",17553,17553,100,76,166,57.6453018188477,NA,1717,"NWS_COL",183,"NWS","Northwest_South_America","AND",61,"IB0056_FM6",34,"MAHATES","BOLÍVAR"
"117","1754","Colombia",11003.9,11003.9,100,76,166,57.6453018188477,NA,1754,"NWS_COL",183,"NWS","Northwest_South_America","AND",187,"IB0056_FM6",34,"EL CARMEN DE BOLÍVAR","BOLÍVAR"
"118","1795","Colombia",6652.8,6652.8,100,76,166,57.6453018188477,NA,1795,"NWS_COL",183,"NWS","Northwest_South_America","AND",37,"IB0056_FM6",33,"MAGANGUÉ","BOLÍVAR"
"119","1890","Colombia",4734.2,4734.2,100,76,166,57.6453018188477,NA,1890,"NWS_COL",183,"NWS","Northwest_South_America","AND",634,"IB0056_FM6",35,"ARENAL","BOLÍVAR"
"120","1889","Colombia",5856.5,5856.5,100,76,166,57.6453018188477,NA,1889,"NWS_COL",183,"NWS","Northwest_South_America","AND",63,"IB0056_FM6",34,"SAN JACINTO DEL CAUCA","BOLÍVAR"
"121","2100","Colombia",762.6,762.6,100,76,166,57.6453018188477,NA,2100,"ORI_COL",199,"ORI","Orinoco","AND",1127,"IB0056_FM6",41,"TÁMARA","CASANARE"
"122","2101","Colombia",415.6,415.6,100,76,166,57.6453018188477,NA,2101,"ORI_COL",199,"ORI","Orinoco","AND",217,"IB0056_FM6",34,"PAZ DE ARIPORO","CASANARE"
"123","2020","Colombia",5409.5,5409.5,100,76,166,57.6453018188477,NA,2020,"ORI_COL",199,"ORI","Orinoco","AND",460,"IB0056_FM6",36,"FORTUL","ARAUCA"
